team,points,games,goal_diff,projected_points
Liverpool,40,17,26,89.41176470588236
Arsenal,37,17,21,82.70588235294117
Manchester City,36,17,20,80.47058823529412
Chelsea,34,17,14,76.0
Newcastle,32,17,13,71.52941176470588
Tottenham,30,17,12,67.05882352941177
Aston Villa,29,17,6,64.82352941176471
Manchester Utd,27,17,6,60.35294117647059
Brighton,26,17,3,58.11764705882352
Nottingham Forest,25,17,0,55.88235294117648
Bournemouth,24,17,2,53.64705882352941
West Ham,23,17,-1,51.411764705882355
Fulham,23,17,0,51.411764705882355
Brentford,22,17,-2,49.1764705882353
Crystal Palace,21,17,-2,46.94117647058824
Everton,20,17,-6,44.70588235294118
Wolves,18,17,-6,40.23529411764706
Leeds,17,17,-8,38.0
Burnley,14,17,-13,31.294117647058822
Sheffield Utd,11,17,-20,24.58823529411765
