team,position,games,wins,draws,losses,goals_for,goals_against,points,xg,xga,champion,relegated,season,goal_diff,ppg,xg_diff
Manchester City,1,38,28,5,5,94,33,89,85.5,35.8,1,0,2022-23,61,2.3421052631578947,49.7
Arsenal,2,38,26,6,6,88,43,84,82.1,40.2,0,0,2022-23,45,2.210526315789474,41.89999999999999
Manchester Utd,3,38,23,6,9,58,43,75,55.2,48.5,0,0,2022-23,15,1.9736842105263157,6.700000000000003
Newcastle,4,38,19,14,5,68,33,71,62.5,38.2,0,0,2022-23,35,1.868421052631579,24.299999999999997
Liverpool,5,38,19,10,9,75,47,67,72.1,48.5,0,0,2022-23,28,1.763157894736842,23.599999999999994
Brighton,6,38,18,8,12,72,53,62,65.2,50.2,0,0,2022-23,19,1.631578947368421,15.0
Aston Villa,7,38,18,7,13,51,46,61,52.8,48.8,0,0,2022-23,5,1.605263157894737,4.0
Tottenham,8,38,18,6,14,70,63,60,68.5,58.2,0,0,2022-23,7,1.5789473684210527,10.299999999999997
Brentford,9,38,15,14,9,58,46,59,55.8,48.5,0,0,2022-23,12,1.5526315789473684,7.299999999999997
Fulham,10,38,15,8,15,55,53,52,52.1,55.2,0,0,2022-23,2,1.368421052631579,-3.1000000000000014
Crystal Palace,11,38,11,12,15,40,49,45,42.5,52.5,0,0,2022-23,-9,1.1842105263157894,-10.0
Chelsea,12,38,11,11,16,38,47,44,48.2,52.8,0,0,2022-23,-9,1.1578947368421053,-4.599999999999994
Wolves,13,38,11,8,19,31,58,41,35.8,55.2,0,0,2022-23,-27,1.0789473684210527,-19.400000000000006
West Ham,14,38,11,7,20,42,55,40,45.2,58.5,0,0,2022-23,-13,1.0526315789473684,-13.299999999999997
Bournemouth,15,38,11,6,21,37,71,39,40.5,65.2,0,0,2022-23,-34,1.0263157894736843,-24.700000000000003
Nottingham Forest,16,38,9,11,18,38,68,38,42.1,62.5,0,0,2022-23,-30,1.0,-20.4
Everton,17,38,8,12,18,34,57,36,38.5,55.8,0,0,2022-23,-23,0.9473684210526315,-17.299999999999997
Leicester,18,38,9,7,22,51,68,34,52.5,65.2,0,1,2022-23,-17,0.8947368421052632,-12.700000000000003
Leeds,19,38,7,10,21,48,78,31,50.2,72.5,0,1,2022-23,-30,0.8157894736842105,-22.299999999999997
Southampton,20,38,6,7,25,36,73,25,38.8,68.5,0,1,2022-23,-37,0.6578947368421053,-29.700000000000003
