team,position,games,wins,draws,losses,goals_for,goals_against,points,xg,xga,champion,relegated,season,goal_diff,ppg,xg_diff
Liverpool,1,38,28,6,4,92,32,90,85.5,35.2,1,0,2024-25,60,2.3684210526315788,50.3
Arsenal,2,38,25,8,5,85,35,83,80.2,38.5,0,0,2024-25,50,2.1842105263157894,41.7
Chelsea,3,38,24,7,7,82,42,79,78.5,45.2,0,0,2024-25,40,2.0789473684210527,33.3
Manchester City,4,38,22,9,7,78,40,75,80.8,38.8,0,0,2024-25,38,1.9736842105263157,42.0
Nottingham Forest,5,38,20,8,10,58,45,68,52.5,48.5,0,0,2024-25,13,1.7894736842105263,4.0
Brighton,6,38,18,10,10,65,48,64,62.8,50.2,0,0,2024-25,17,1.6842105263157894,12.599999999999994
Aston Villa,7,38,18,8,12,68,52,62,65.2,52.8,0,0,2024-25,16,1.631578947368421,12.400000000000006
Newcastle,8,38,17,10,11,62,48,61,58.5,50.5,0,0,2024-25,14,1.605263157894737,8.0
Bournemouth,9,38,17,8,13,60,55,59,55.8,55.2,0,0,2024-25,5,1.5526315789473684,0.5999999999999943
Fulham,10,38,16,9,13,58,52,57,55.2,52.5,0,0,2024-25,6,1.5,2.700000000000003
Tottenham,11,38,15,10,13,72,58,55,68.5,55.8,0,0,2024-25,14,1.4473684210526316,12.700000000000003
Brentford,12,38,14,11,13,68,58,53,62.5,58.2,0,0,2024-25,10,1.394736842105263,4.299999999999997
Manchester Utd,13,38,14,8,16,55,62,50,58.2,60.5,0,0,2024-25,-7,1.3157894736842106,-2.299999999999997
West Ham,14,38,13,9,16,52,60,48,50.5,58.5,0,0,2024-25,-8,1.263157894736842,-8.0
Crystal Palace,15,38,12,10,16,48,58,46,48.8,55.8,0,0,2024-25,-10,1.2105263157894737,-7.0
Everton,16,38,11,11,16,42,55,44,45.2,55.2,0,0,2024-25,-13,1.1578947368421053,-10.0
Wolves,17,38,10,10,18,52,68,40,48.5,62.5,0,0,2024-25,-16,1.0526315789473684,-14.0
Leicester,18,38,10,8,20,50,72,38,48.2,68.5,0,1,2024-25,-22,1.0,-20.299999999999997
Ipswich,19,38,8,9,21,42,75,33,42.5,72.5,0,1,2024-25,-33,0.868421052631579,-30.0
Southampton,20,38,5,8,25,35,85,23,38.5,80.2,0,1,2024-25,-50,0.6052631578947368,-41.7
