team,position,games,wins,draws,losses,goals_for,goals_against,points,xg,xga,champion,relegated,season,goal_diff,ppg,xg_diff
Manchester City,1,38,28,7,3,96,34,91,88.2,32.5,1,0,2023-24,62,2.3947368421052633,55.7
Arsenal,2,38,28,5,5,91,29,89,85.1,35.2,0,0,2023-24,62,2.3421052631578947,49.89999999999999
Liverpool,3,38,24,10,4,86,41,82,80.3,45.8,0,0,2023-24,45,2.1578947368421053,34.5
Aston Villa,4,38,20,8,10,76,61,68,68.5,55.2,0,0,2023-24,15,1.7894736842105263,13.299999999999997
Tottenham,5,38,20,6,12,74,61,66,70.2,58.1,0,0,2023-24,13,1.736842105263158,12.100000000000001
Chelsea,6,38,18,9,11,77,63,63,72.1,55.8,0,0,2023-24,14,1.6578947368421053,16.299999999999997
Newcastle,7,38,18,6,14,85,62,60,75.8,58.2,0,0,2023-24,23,1.5789473684210527,17.599999999999994
Manchester Utd,8,38,18,3,17,57,58,60,60.2,62.5,0,0,2023-24,-1,1.5789473684210527,-2.299999999999997
West Ham,9,38,14,11,13,60,74,52,55.8,65.2,0,0,2023-24,-14,1.368421052631579,-9.400000000000006
Crystal Palace,10,38,13,10,15,57,58,49,52.1,55.8,0,0,2023-24,-1,1.2894736842105263,-3.6999999999999957
Brighton,11,38,12,12,14,55,62,48,58.3,58.2,0,0,2023-24,-7,1.263157894736842,0.09999999999999432
Bournemouth,12,38,13,9,16,54,67,48,50.2,62.1,0,0,2023-24,-13,1.263157894736842,-11.899999999999999
Fulham,13,38,13,8,17,55,61,47,52.8,58.5,0,0,2023-24,-6,1.236842105263158,-5.700000000000003
Wolves,14,38,13,7,18,50,65,46,48.5,60.2,0,0,2023-24,-15,1.2105263157894737,-11.700000000000003
Everton,15,38,13,9,16,40,51,40,45.2,55.8,0,0,2023-24,-11,1.0526315789473684,-10.599999999999994
Brentford,16,38,10,9,19,56,65,39,55.1,62.5,0,0,2023-24,-9,1.0263157894736843,-7.399999999999999
Nottingham Forest,17,38,9,9,20,49,67,32,45.8,65.8,0,0,2023-24,-18,0.8421052631578947,-20.0
Luton,18,38,6,8,24,52,85,26,48.2,78.2,0,1,2023-24,-33,0.6842105263157895,-30.0
Burnley,19,38,5,9,24,41,78,24,42.1,75.5,0,1,2023-24,-37,0.631578947368421,-33.4
Sheffield Utd,20,38,3,7,28,35,104,16,38.5,95.2,0,1,2023-24,-69,0.42105263157894735,-56.7
